Integra, Acura, 01 00 99 98 97 96 95 94 93 92 91 90 89
HHR, Chevrolet, 09 08 07 06
Impala, Chevrolet, 09 08 07 06 05 04 03 02 01 00 96 95 94
Monte Carlo, Chevrolet, 07 06 05 04 03 02 01 00 99 98 97 96 95
Malibu, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99 98 97
Astro, Chevrolet, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Silverado 2500 Pickup, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99
Silverado 1500 Pickup, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99
SSR Pickup, Chevrolet, 06 05 04 03
Suburban, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Equinox, Chevrolet, 09 08 07 06 05
Blazer, Chevrolet, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Silverado 3500 Pickup, Chevrolet, 09 08 07 06 05 04 03 02 01
Cavalier, Chevrolet, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Cobalt, Chevrolet, 09 08 07 06 05
Venture, Chevrolet, 05 04 03 02 01 00 99 98 97
Aveo, Chevrolet, 09 08 07 06 05 04
TrailBlazer, Chevrolet, 09 08 07 06 05 04 03 02
Tahoe, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Corvette, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Uplander, Chevrolet, 08 07 06 05
300M, Chrysler, 04 03 02 01 00 99
Aspen, Chrysler, 09 08 07
Concorde, Chrysler, 04 03 02 01 00 99 98 97 96 95 94 93
Sebring, Chrysler, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Voyager, Chrysler, 03 02 01 00
New Yorker, Chrysler, 96 95 94 93 92 91 90 89
Pacifica, Chrysler, 08 07 06 05 04
300C, Chrysler, 09 08 07 06 05
300, Chrysler, 09 08 07 06 05
Conquest TSi, Chrysler,89
Crossfire, Chrysler, 08 07 06 05 04
Town & Country, Chrysler, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
PT Cruiser, Chrysler, 09 08 07 06 05 04 03 02 01
LeBaron, Chrysler, 95 94 93 92 91 90 89
Cirrus, Chrysler, 00 99 98 97 96 95
Fifth Ave, Chrysler, 93 92 91 90 89
Imperial, Chrysler, 93 92 91 90
Grand Voyager, Chrysler,0
Prowler, Chrysler, 02 01
TC, Chrysler, 91 90 89
LHS, Chrysler, 01 00 99 97 96 95 94
Lanos, Daewoo, 02 01 00 99
Nubira, Daewoo, 02 01 00 99
Leganza, Daewoo, 02 01 00 99
Charade, Daihatsu, 92 91 90 89
Rocky, Daihatsu, 92 91 90
Raider, Dodge,89
Colt, Dodge, 94 93 92 91 90 89
Grand Caravan, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Lancer, Dodge,89
Diplomat, Dodge,89
100 Pickup, Dodge,89
Charger, Dodge, 09 08 07 06
Caravan, Dodge, 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Ram 50 Pickup, Dodge, 93 92 91 90 89
Colt Vista, Dodge, 91 90 89
Dakota, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Ramcharger, Dodge, 93 92 91 90 89
Caliber, Dodge, 09 08 07
Durango, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98
Shadow, Dodge, 94 93 92 91 90 89
Stratus, Dodge, 06 05 04 03 02 01 00 99 98 97 96 95
250 Pickup, Dodge, 93 92 91 90 89
350 Pickup, Dodge, 93 92 91 90 89
Neon, Dodge, 05 04 03 02 01 00 99 98 97 96 95
Dynasty, Dodge, 93 92 91 90 89
Daytona, Dodge, 93 92 91 90 89
150 Pickup, Dodge, 93 92 91 90 89
Monaco, Dodge, 92 91 90
Magnum, Dodge, 08 07 06 05
Aries America, Dodge,89
Stealth, Dodge, 96 95 94 93 92 91
Omni America, Dodge, 90 89
Viper, Dodge, 09 08 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92
Spirit, Dodge, 95 94 93 92 91 90 89
Ram 2500 Pickup, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
Challenger, Dodge, 09 08
Ram 3500 Cab & Chassis, Dodge, 09 08 07
Journey, Dodge,9
Intrepid, Dodge, 04 03 02 01 00 99 98 97 96 95 94 93
Ram 1500 Pickup, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
Ram 3500 Pickup, Dodge, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
Avenger, Dodge, 09 08 00 99 98 97 96 95
Ram Wagon, Dodge, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Nitro, Dodge, 09 08 07
Ram Van, Dodge, 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Talon, Eagle, 98 97 96 95 94 93 92 91 90
Vision, Eagle, 97 96 95 94 93
Premier, Eagle, 92 91 90 89
Summit, Eagle, 96 95 94 93 92 91 90 89
Medallion, Eagle,89
Expedition, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97
Freestar, Ford, 07 06 05 04
Contour, Ford, 00 99 98 97 96 95
Taurus, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Econoline, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Escape, Ford, 09 08 07 06 05 04 03 02 01
Excursion, Ford, 05 04 03 02 01 00
F450, Ford, 09 08
Edge, Ford, 09 08 07
Festiva, Ford, 93 92 91 90 89
Windstar, Ford, 03 02 01 00 99 98 97 96 95
Explorer Sport, Ford, 03 02 01 00
ZX2, Ford, 03 02 01
Mustang, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Freestyle, Ford, 07 06 05
Five Hundred, Ford, 07 06 05
Escort, Ford, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Bronco, Ford, 96 95 94 93 92 91 90 89
Aerostar, Ford, 97 96 95 94 93 92 91 90 89
Probe, Ford, 97 96 95 94 93 92 91 90 89
Expedition EL, Ford, 09 08 07
Focus, Ford, 09 08 07 06 05 04 03 02 01 00
Fusion, Ford, 09 08 07 06
GT, Ford, 06 05
Tempo, Ford, 94 93 92 91 90 89
Aspire, Ford, 97 96 95 94
Crown Victoria, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
F250, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Taurus X, Ford, 09 08
F350, Ford, 09 08 07 06 05 04 03 02 01 00 99 97 96 95 94 93 92 91 90 89
Explorer, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91
Explorer Sport Trac, Ford, 08 07 05 04 03 02 01
F150, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Flex, Ford,9
Thunderbird, Ford, 05 04 03 02 97 96 95 94 93 92 91 90 89
Club Wagon, Ford, 98 97 96 95 94 93 92 91 90 89
Country Squire, Ford, 91 90 89
Bronco II, Ford, 90 89
Ranger, Ford, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Tracker, Geo, 97 96 95 94 93 92 91 90 89
Prizm, Geo, 97 96 95 94 93 92 91 90 89
Metro, Geo, 97 96 95 94 93 92 91 90 89
Spectrum, Geo,89
Storm, Geo, 93 92 91 90
S15 Jimmy, GMC, 91 90 89
Envoy XL, GMC, 06 05 04 03 02
Canyon, GMC, 09 08 07 06 05 04
Jimmy, GMC, 01 00 99 98 97 96 95 94 93 92 91 90 89
Safari, GMC, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Yukon, GMC, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92
Acadia, GMC, 09 08 07
Vandura, GMC, 96 95 94 93 92 91 90 89
Envoy XUV, GMC, 05 04
Rally Wagon, GMC, 96 95 94 93 92 91 90 89
Savana Van, GMC, 09 08 07 06 05 04 03 02 01 00 99 98 97 96
Sierra 3500 Pickup, GMC, 09 08 07 06 05 04 03 02 01
2500 Pickup, GMC, 00 99 98 97 96 95 94 93 92 91 90 89
S15 Pickup, GMC, 90 89
Yukon XL, GMC, 09 08 07 06 05 04 03 02 01 00
Envoy, GMC, 09 08 07 06 05 04 03 02 00 99 98
1500 Pickup, GMC, 99 98 97 96 95 94 93 92 91 90 89
Sierra 2500 Pickup, GMC, 09 08 07 06 05 04 03 02 01 00 99
Sierra 1500 Pickup, GMC, 09 08 07 06 05 04 03 02 01 00 99
Sonoma, GMC, 04 03 02 01 00 99 98 97 96 95 94 93 92 91
3500 Pickup, GMC, 00 99 98 97 96 95 94 93 92 91 90 89
Suburban, GMC, 99 98 97 96 95 94 93 92 91 90 89
Prelude, Honda, 01 00 99 98 97 96 95 94 93 92 91 90 89
Passport, Honda, 02 01 00 99 98 97 96 95 94
Civic, Honda, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
S2000, Honda, 08 07 06 05 04 03 02 01 00
Fit, Honda, 09 08 07
Accord, Honda, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
CR-V, Honda, 09 08 07 06 05 04 03 02 01 00 99 98 97
Odyssey, Honda, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Element, Honda, 08 07 06 05 04 03
Ridgeline, Honda, 09 08 07 06
Pilot, Honda, 09 08 07 06 05 04 03
Insight, Honda, 06 05 04 03 02 01 00
del Sol, Honda, 97 96 95 94 93
H3T Alpha, HUMMER,9
H3, HUMMER, 09 08 07 06
H1, HUMMER, 06 04 03 02 01 00 99 98 97 96 95 94 93
H3 Alpha, HUMMER, 09 08
H3x, HUMMER, 09 08
H3T, HUMMER,9
H2, HUMMER, 08 07 06 05 04 03
Veracruz, Hyundai, 08 07
Accent, Hyundai, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Elantra, Hyundai, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92
Excel, Hyundai, 94 93 92 91 90 89
XG350, Hyundai, 05 04 03 02
Tiburon, Hyundai, 08 07 06 05 04 03 01 00 99 98 97
Sonata, Hyundai, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Azera, Hyundai, 09 08 07 06
Entourage, Hyundai, 08 07
XG300, Hyundai,1
Scoupe, Hyundai, 95 94 93 92 91
Tucson, Hyundai, 08 07 06 05
Santa Fe, Hyundai, 09 08 07 06 05 04 03 02 01
FX35, Infiniti, 09 08 07 06 05 04 03
FX45, Infiniti, 08 07 06 05 04 03
QX56, Infiniti, 09 08 07 06 05 04
Q45, Infiniti, 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
G35, Infiniti, 08 07 06 05 04 03
M35, Infiniti, 08 07 06
I35, Infiniti, 04 03 02
M45, Infiniti, 08 07 06 04 03
I30, Infiniti, 01 00 99 98 97 96
G20, Infiniti, 02 01 00 99 96 95 94 93 92 91
QX4, Infiniti, 03 02 01 00 99 98 97
M30, Infiniti, 92 91 90
J30, Infiniti, 97 96 95 94 93
FX50, Infiniti,9
EX35, Infiniti,8
G37, Infiniti, 09 08
Ascender, Isuzu, 08 07 06 05 04 03
Amigo, Isuzu, 00 99 98 94 93 92 91 90 89
i280 Pickup, Isuzu,6
Hombre, Isuzu, 00 99 98 97 96
Trooper, Isuzu, 02 01 00 99 98 97 96 95 94 93 92 91
Pickup, Isuzu, 95 94 93 92 91 90 89
i350 Pickup, Isuzu,6
VehiCROSS, Isuzu, 01 00 99
i290 Pickup, Isuzu, 08 07
Stylus, Isuzu, 93 92 91
i370 Pickup, Isuzu, 08 07
Rodeo, Isuzu, 04 03 02 01 00 99 98 97 96 95 94 93 92 91
Axiom, Isuzu, 04 03 02
Rodeo Sport, Isuzu, 03 02 01
Trooper II, Isuzu, 90 89
Impulse, Isuzu, 92 91 90 89
Oasis, Isuzu, 99 98 97 96
I-Mark, Isuzu,89
XKR, Jaguar, 08 07 06 05 04 03 02 01 00
XJS, Jaguar, 96 95 94 93 92 91 90 89
XJ6, Jaguar, 97 96 95 94 93 92 91 90 89
XF, Jaguar,9
XJ, Jaguar, 08 07 06
XK, Jaguar, 08 07
XJR-S, Jaguar,93
XJ Sport, Jaguar, 03 02
XJ Super, Jaguar, 08 07 06 05 03 02
XJ12, Jaguar, 96 95 94 93
X-Type, Jaguar, 08 07 06 05 04 03 02
XK8, Jaguar, 06 05 04 03 02 01 00 99 98 97
S-Type, Jaguar, 08 07 06 05 04 03 02 01 00
XJ8, Jaguar, 08 07 06 05 04 03 02 01 00 99 98
Vanden Plas, Jaguar, 05 04 03 02
XJR, Jaguar, 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Cherokee, Jeep, 01 00 99 98 97 96 95 94 93 92 91 90 89
Grand Wagoneer, Jeep, 91 90 89
Comanche Pickup, Jeep, 92 91 90 89
Wagoneer, Jeep, 90 89
Wrangler, Jeep, 09 08 07 06 05 04 03 02 01 00 99 98 97 95 94 93 92 91 90 89
Commander, Jeep, 09 08 07 06
Grand Cherokee, Jeep, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93
Patriot, Jeep, 08 07
Compass, Jeep, 08 07
Liberty, Jeep, 09 08 07 06 05 04 03 02
Sephia, Kia, 01 00 99 98 97 96 95 94
Rondo, Kia, 09 08 07
Borrego, Kia,9
Rio, Kia, 09 08 07 06 05 04 03 02 01
Optima, Kia, 08 07 06 05 04 03 02 01
Sedona, Kia, 08 07 06 05 04 03 02
Rio5, Kia, 09 08 07 06
Spectra, Kia, 09 08 07 06 05 04 03 02 01 00
Sportage, Kia, 08 07 06 05 02 01 00 99 98 97 96 95
Sorento, Kia, 09 08 07 06 05 04 03
Spectra5, Kia, 09 08 07 06 05
Amanti, Kia, 08 07 06 05 04
Freelander, Land Rover, 05 04 03 02
Range Rover, Land Rover, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Range Rover Sport, Land Rover, 08 07 06
Defender 110, Land Rover,93
Defender 90, Land Rover, 97 95 94
Discovery Series II, Land Rover, 02 01 00 99
Discovery, Land Rover, 04 03 99 98 97 96 95 94
LR3, Land Rover, 08 07 06 05
LR2, Land Rover, 09 08
IS 300, Lexus, 05 04 03 02 01
SC 400, Lexus, 00 99 98 97 96 95 94 93 92
LS 600h, Lexus,8
RX 300, Lexus, 03 02 01 00 99
GS 400, Lexus, 00 99 98
LS 400, Lexus, 00 99 98 97 96 95 94 93 92 91 90
SC 300, Lexus, 00 99 98 97 96 95 94 93 92
RX 330, Lexus, 06 05 04
RX 400h, Lexus, 08 07 06
LS 430, Lexus, 06 05 04 03 02 01
LX 470, Lexus, 07 06 05 04 03 02 01 00 99 98
ES 300, Lexus, 03 02 01 00 99 98 97 96 95 94 93 92
GS 350, Lexus, 08 07
LS 460, Lexus, 08 07
ES 250, Lexus, 91 90
SC 430, Lexus, 09 08 07 06 05 04 03 02
GS 460, Lexus,8
LX 570, Lexus,8
GS 300, Lexus, 06 05 04 03 02 01 00 99 98 97 96 95 94 93
IS 250, Lexus, 08 07 06
IS F, Lexus,8
GS 430, Lexus, 07 06 05 04 03 02 01
ES 330, Lexus, 06 05 04
ES 350, Lexus, 08 07
GS 450h, Lexus, 08 07
GX 470, Lexus, 08 07 06 05 04 03
RX 350, Lexus, 09 08 07
LX 450, Lexus, 97 96
IS 350, Lexus, 08 07 06
Mark VII, Lincoln, 92 91 90 89
Blackwood, Lincoln,2
Mark VIII, Lincoln, 98 97 96 95 94 93
Mark LT, Lincoln, 08 07 06
Navigator, Lincoln, 09 08 07 06 05 04 03 02 01 00 99 98
Continental, Lincoln, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
MKZ, Lincoln, 09 08 07
Town Car, Lincoln, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
LS, Lincoln, 06 05 04 03 02 01 00
Zephyr, Lincoln,6
Navigator L, Lincoln, 08 07
MKS, Lincoln,9
MKX, Lincoln, 08 07
Aviator, Lincoln, 05 04 03
RX-8, Mazda, 08 07 06 05 04
MAZDASPEED6, Mazda, 07 06
Miata MX-5, Mazda, 08 07 06 05 04 03 02 01 00 99 97 96 95 94 93 92 91 90
RX-7, Mazda, 95 94 93 91 90 89
MX-3, Mazda, 95 94 93 92
323, Mazda, 94 93 92 91 90 89
MAZDA3, Mazda, 09 08 07 06 05 04
MX-6, Mazda, 97 96 95 94 93 92 91 90 89
MAZDA6, Mazda, 08 07 06 05 04 03
CX-7, Mazda, 09 08 07
929, Mazda, 95 94 93 92 91 90 89
B3000, Mazda, 07 06 05 04 03 02 01 00 99 98 96 95 94
MPV, Mazda, 06 05 04 03 02 01 00 98 97 96 95 94 93 92 91 90 89
B2300, Mazda, 09 08 07 06 05 04 03 02 01 97 96 95 94
CX-9, Mazda, 09 08 07
B4000, Mazda, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
Tribute, Mazda, 09 08 06 05 04 03 02 01
Navajo, Mazda, 94 93 92 91
MAZDA5, Mazda, 09 08 07 06
B2600, Mazda, 93 92 91 90 89
B2200, Mazda, 93 92 91 90 89
Millenia, Mazda, 02 01 00 99 98 97 96 95
Protege, Mazda, 03 02 01 00 99 98 97 96 95 94 93 92 91 90
626, Mazda, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
B2500, Mazda, 01 00 99 98
Protege5, Mazda, 03 02
MAZDASPEED3, Mazda, 09 08 07
300SL, Mercedes-Benz, 93 92 91 90
500E, Mercedes-Benz, 93 92
500SL, Mercedes-Benz, 93 92 91 90
500SEL, Mercedes-Benz, 93 92
560SL, Mercedes-Benz,89
300TE, Mercedes-Benz, 93 92 91 90 89
400SEL, Mercedes-Benz,93
600SEL, Mercedes-Benz, 93 92
600SL, Mercedes-Benz,93
420SEL, Mercedes-Benz, 91 90 89
600SEC, Mercedes-Benz,93
400E, Mercedes-Benz, 93 92
G-Class, Mercedes-Benz, 08 07 06 05 04 03 02
500SEC, Mercedes-Benz,93
190E, Mercedes-Benz, 93 92 91 90 89
300CE, Mercedes-Benz, 93 92 91 90 89
300E, Mercedes-Benz, 93 92 91 90 89
350SD, Mercedes-Benz, 91 90
350SDL, Mercedes-Benz, 91 90
300SEL, Mercedes-Benz, 91 90 89
560SEC, Mercedes-Benz, 91 90 89
300SE, Mercedes-Benz, 93 92 91 90 89
190D, Mercedes-Benz,89
260E, Mercedes-Benz,89
300SD, Mercedes-Benz, 93 92
300D, Mercedes-Benz, 93 92 91 90
560SEL, Mercedes-Benz, 91 90 89
400SE, Mercedes-Benz,92
CLS-Class, Mercedes-Benz, 09 08 07 06
S-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
E-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
C-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
CL-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98
SL-Class, Mercedes-Benz, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94
ML-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98
R-Class, Mercedes-Benz, 08 07 06
CLK-Class, Mercedes-Benz, 08 07 06 05 04 03 02 01 00 99 98
GL-Class, Mercedes-Benz, 09 08 07
SLK-Class, Mercedes-Benz, 09 08 07 06 05 04 03 02 01 00 99 98
Milan, Mercury, 09 08 07 06
Capri, Mercury, 94 93 92 91
Mountaineer, Mercury, 09 08 07 06 05 04 03 02 01 00 99 98 97
Topaz, Mercury, 94 93 92 91 90 89
Monterey, Mercury, 07 06 05 04
Montego, Mercury, 07 06 05
Mariner, Mercury, 09 08 07 06 05
Sable, Mercury, 09 08 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Grand Marquis, Mercury, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Cougar, Mercury, 02 01 00 99 97 96 95 94 93 92 91 90 89
Mystique, Mercury, 00 99 98 97 96 95
Marauder, Mercury, 04 03
Tracer, Mercury, 99 98 97 96 95 94 93 92 91 89
Villager, Mercury, 02 01 00 99 98 97 96 95 94 93
Scorpio, Merkur,89
XR4Ti, Merkur,89
Cooper, MINI, 08 07 06 05 04 03 02
Minivan, Mitsubishi, 90 89
Outlander, Mitsubishi, 08 07 06 05 04 03
Precis, Mitsubishi, 94 93 92 91 90 89
Diamante, Mitsubishi, 04 03 02 01 00 99 98 97 96 95 94 93 92
3000GT, Mitsubishi, 99 98 97 96 95 94 93 92 91
Raider, Mitsubishi, 09 08 07 06
Mirage, Mitsubishi, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Sigma, Mitsubishi, 90 89
Montero Sport, Mitsubishi, 04 03 02 01 00 99 98 97
Starion, Mitsubishi,89
Eclipse, Mitsubishi, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
Pickup, Mitsubishi, 96 95 94 93 92 91 90 89
Expo, Mitsubishi, 95 94 93 92
Endeavor, Mitsubishi, 08 07 06 05 04
Lancer, Mitsubishi, 09 08 07 06 05 04 03 02
Galant, Mitsubishi, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Montero, Mitsubishi, 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Pickup, Nissan, 97 96 95 94 93 92 91 90 89
Sentra, Nissan, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Armada, Nissan, 09 08 07 06 05
Maxima, Nissan, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Stanza, Nissan, 92 91 90 89
